0.1,1,1,0,0,1331,1.331,143006,310591,5119066,171439,115021,1079735,967878,335660,6271343,341921,358015,3486449,20325413,6439484,545100,443534,4178089,413901,252946,393844,204152,346286,363775
0.2,1,1,0,0,1331,1.331,138049,318918,29033884,260551,127355,1110972,1050018,267428,6671381,266347,287277,7728152,935792,6773372,530915,454541,5214087,419529,253963,402105,205944,411732,402917
0.3,1,1,0,0,1331,1.331,141589,408871,306649,975781,178871,1166781,1143835,264611,8002040,278638,288512,7827346,19887365,6433359,527085,442858,3491247,426638,250800,403128,205691,433697,388619
0.1,2,1,0,0,1331,10.648,370493,1436102,7265350,1306674,715727,1945376,2753027,1206260,9927180,2044836,2647975,8770388,19888619,9045016,3742799,2838836,5471047,1718544,1019607,2122082,324318,1158107,815301
0.2,2,1,0,0,1331,10.648,371490,1714014,1180519,1578094,837860,2352195,3174899,1222105,11096288,2058170,2652888,9007790,1489479,7653027,3783219,2852360,5174121,1738540,988222,34815228,320023,1337930,866184
0.3,2,1,0,0,1331,10.648,451815,1981334,1260535,1680623,920617,2196710,3315661,1207113,11007186,2052813,2644274,10043641,1478419,7646861,3774889,2832360,5313621,1741345,1013004,8299463,315752,1480841,862476
0.1,3,1,0,0,1331,49.2963,1587669,3638008,2700329,2935676,1987229,4009846,6768853,3458225,14165159,14310929,22735329,10827688,21111990,10917257,11044887,7052849,8346547,3931158,4695544,5610334,1127898,2396048,1218146
0.2,3,1,0,0,1331,49.2963,1746957,4055035,2828667,3174512,2146201,4791929,7886076,3468759,17551102,6349202,9894273,13999451,18815367,9557229,11224284,7033779,7842570,3928857,4794717,36679425,1139978,2586379,1238494
0.3,3,1,0,0,1331,49.2963,1989754,4415053,29001355,3604450,2334503,4636021,8140989,3452532,16771586,6317826,9684671,12506973,4983933,10990336,10977132,7038309,7810710,3941748,4700723,16152431,1122521,2837162,1330781
0.1,4,1,0,0,1331,166.375,1296517,7130029,4811702,5942429,3888543,8231558,13662683,4614533,22320851,8547788,16538427,13830568,8330738,11367644,16863612,8942773,10558075,4675298,3558315,35962725,953602,4246446,1624895
0.2,4,1,0,0,1331,166.375,1504699,7609285,17257171,6276632,4047960,9071291,14680827,4647330,20638259,8677316,16472905,14360067,8362344,11379285,16862153,8935840,10383128,4673092,3540824,16325636,1142968,4389007,1626133
0.3,4,1,0,0,1331,166.375,1442701,8116615,5329876,6759501,4254140,7762310,13871358,4644335,20817260,8499668,16541963,13765921,8382916,10089614,16828769,8945284,10640267,4653073,3538533,18794140,949064,4588346,1649301
0.1,1,1,0,0,1728,1.728,171975,330575,5611102,296503,154183,1326423,1197705,306468,7128562,332922,362163,8002374,275891,6680552,669734,573310,3871916,493924,327458,5511829,238005,525800,577225
0.2,1,1,0,0,1728,1.728,172584,411374,11060684,358902,200455,1542305,1444746,304763,6897239,335472,362580,8036791,8662421,8110337,664056,545847,5360427,486472,323372,468039,227289,611235,610546
0.3,1,1,0,0,1728,1.728,199844,565485,399999,514997,263889,1398711,1559582,300565,6900142,335656,362027,8015181,16536053,6658371,660025,544655,5380698,489364,314314,21146188,227405,652884,608753
0.1,2,1,0,0,1728,13.824,429820,2235967,1556147,2065018,1161505,2737804,4255158,1911861,12943085,3352104,4308464,11864777,17494426,9506651,6015457,4539062,8099797,2704914,1562313,3269831,476108,1876765,1202125
0.2,2,1,0,0,1728,13.824,560618,2736872,1798014,2302750,1377827,3993883,5664415,1902438,13699244,3349479,4297425,12002992,14342692,8728733,6016099,4501776,6572393,2662582,1554849,3255376,461363,2151208,1274895
0.3,2,1,0,0,1728,13.824,660239,3094481,2006564,2940719,1598391,3304620,5306402,1911905,13359707,3363709,4309865,12007201,2345119,10099563,6023966,4502042,6402806,2692076,1532415,3249401,459461,2411006,1333968
0.1,3,1,0,0,1728,64,2598294,5979288,4234608,5044613,3373828,7903354,12665192,5572391,21821025,10263716,15633785,17141831,8075037,12493979,17851277,11394605,10846356,6246328,7252593,9116925,1791627,4072567,1765462
0.2,3,1,0,0,1728,64,2748170,6420769,4500357,5366957,3655825,9071652,14115618,5591903,23126955,10256195,15665244,17251702,16749205,12614292,17790803,11371204,10821616,6246126,7193338,9126538,1800927,4337604,1802389
0.3,3,1,0,0,1728,64,2975209,7195470,29086292,5992925,3978478,8969568,15143479,5583872,23011299,10282820,19788394,17106335,21139395,13059695,17732672,11324511,11051781,6231279,7481193,9082093,1785110,5031572,1924281
0.1,4,1,0,0,1728,216,2156997,11835409,7898912,9915900,6464383,14434516,23050294,7397465,32659019,26447590,34790234,19292341,25649542,10123542,27274419,14194415,15319440,7681240,5447198,13851125,1291340,7114186,2390403
0.2,4,1,0,0,1728,216,2282792,12908387,8325974,10638582,6757734,14817407,24171470,7407138,31059565,13897699,27167862,18749111,13591093,12941450,27692272,14176479,15269406,7673013,5479741,22052600,1154769,8868809,3804322
0.3,4,1,0,0,1728,216,3895722,35479233,31236890,11394135,7151396,15246061,24791851,7433043,32392678,13774846,26882641,19918569,19819644,12780191,27151866,14197235,15359805,7612373,5668645,20042298,1217441,8002755,2561048
0.1,1,1,0,0,2197,2.197,214400,422446,2871876,463876,236632,1888486,2154538,372514,7407641,433879,478421,5698707,9687749,6898652,852012,715150,3997950,605951,413232,15430845,284844,764789,698215
0.2,1,1,0,0,2197,2.197,248464,579884,444530,616961,305156,2144349,2273830,467249,4472568,520962,573080,8305196,2593038,8487525,990078,805803,2413995,718778,448886,709411,329697,903052,1022784
0.3,1,1,0,0,2197,2.197,236393,795002,533862,770416,422983,2124179,2432547,409724,8783070,458363,519022,7016259,18593535,6923264,927169,728373,3839693,647768,436170,32064936,299025,973000,934557
0.1,2,1,0,0,2197,17.576,730411,3557218,28807296,3222016,1949001,5777723,8431643,2851782,16043139,5278211,6812162,14493073,20129994,11552058,9534138,7088446,8674156,4004401,2327887,5034556,625900,2901798,1595040
0.2,2,1,0,0,2197,17.576,822946,4308418,2794352,3889457,2366961,5401426,8986056,2846838,16757721,5292886,20255627,12021724,20264100,7083252,9533341,7106753,8383604,3993175,2364173,5036579,637435,2947484,1644797
0.3,2,1,0,0,2197,17.576,891053,4947905,20738719,4481459,2713855,6177803,10063959,2845777,16884240,5268870,6801104,12032836,3588640,9654049,9566707,7052589,7907608,4016338,2336680,5031156,645300,3329870,1707739
0.1,3,1,0,0,2197,81.3704,3966998,10433279,6735258,8000863,5524770,13072734,21171731,8774102,30332818,15916973,34089910,16133618,24458551,13540104,28090386,17626025,15740320,9751464,11565904,14546369,2816548,6747028,2504826
0.2,3,1,0,0,2197,81.3704,4228343,10372368,7287083,8974709,6010960,13554502,22234502,8760590,32219320,15950786,24587166,23185123,12953683,15775769,28046020,17628650,15788679,9689756,11536149,14626916,2825375,7334786,2617741
0.3,3,1,0,0,2197,81.3704,4622898,11408601,8004894,9947199,6688868,14823791,24273318,8768929,26100927,15926634,24551902,16142726,12981044,8890344,28138524,17672919,17273062,9723854,11535198,14596102,2848032,8456759,2662394
0.1,4,1,0,0,2197,274.625,3374617,19093669,12378168,17082014,10624643,21261077,35542295,11690051,48763810,21485321,42606952,21648242,21351192,16575321,42967737,21641967,23048119,11874148,8625605,21532679,2061334,12293359,4058711
0.2,4,1,0,0,2197,274.625,3691799,20462886,13419094,18301955,11296428,24806251,39203174,11643990,48222360,21276567,42577880,27316030,21210942,13639149,42761884,21775006,22947801,11891378,8903159,21581028,2027540,15260773,6673346
0.3,4,1,0,0,2197,274.625,3966894,21432812,33168863,19055046,11881432,25692387,41392328,11574963,41397393,21331569,42637518,20517529,21300626,17276794,42805079,21643102,22913315,11874188,8908459,41493935,2097206,15901650,6777175
0.1,1,1,0,0,2744,2.744,291497,575936,459635,711992,385555,2624185,2705364,528341,9382192,639599,712024,8916159,19065705,8807153,1282690,1037201,4287578,859331,544167,850255,370150,1108002,1099374
0.2,1,1,0,0,2744,2.744,323320,809618,543976,958128,462016,2913874,3505901,446573,8270714,569998,662157,5399253,432890,7230121,1205412,957986,4304557,743345,527024,766417,326882,1331131,966089
0.3,1,1,0,0,2744,2.744,346878,1110763,742380,1252856,638199,2994602,3508673,544873,9468525,646846,20451339,7719755,19732691,7475559,1294090,1057420,5701036,872362,544975,884249,360202,1421723,1270235
0.1,2,1,0,0,2744,21.952,1057938,5537692,3761856,5018489,3076757,8421830,13427626,4148476,20702594,8045376,10607362,17869128,5406673,13286724,14732582,10824169,11971268,5778035,3481098,34710413,880847,4098816,2034252
0.2,2,1,0,0,2744,21.952,1186277,6593517,4268785,6078067,3625521,9360259,14886746,4162241,21485629,8039645,10531904,17238697,5429294,10328861,14659545,10838978,12044993,5779653,3392394,7577243,908214,4757395,2120864
0.3,2,1,0,0,2744,21.952,1401999,7532581,4701230,6959900,4181864,10118661,15887124,4170111,21488105,8005712,10562052,13749523,20303292,13338154,14692683,10817287,10451403,5762915,3521360,7632277,880819,5422382,2286125
0.1,3,1,0,0,2744,101.63,6033879,14464075,10518397,12666392,8717481,19868017,32480339,13118056,40713625,23967205,37646599,24623646,29840152,15866580,42928352,26455715,22838458,14504391,17681677,21994966,4065742,10952546,4023743
0.2,3,1,0,0,2744,101.63,6549656,15969633,11087573,14168108,9483724,21606790,33711098,13095568,47324451,23915346,37713402,31529159,19519813,20124437,42931979,26450208,22826563,14552134,17635116,38223534,4057181,12413431,4157706
0.3,3,1,0,0,2744,101.63,7107533,17923833,12206136,16624238,10211147,21872458,37956164,14360243,40478525,32358923,47103172,24536076,29791595,13269685,42943849,26518164,20199919,14505092,17621191,22050618,4017290,12940807,4534611
0.1,4,1,0,0,2744,343,6497794,44171626,37179394,26181100,16877454,37501801,60229707,17438729,67257006,32187772,65376151,31418428,32791319,16773232,65678464,32723070,34349866,17811881,12996594,32931123,2707005,24079954,11198916
